102 [D loss: 2.701550, acc.: 62.50%, op_acc: 28.12%] [G loss: 3.671377]
103 [D loss: 2.632407, acc.: 62.50%, op_acc: 34.38%] [G loss: 3.355574]
104 [D loss: 2.913455, acc.: 60.94%, op_acc: 14.06%] [G loss: 3.528785]
105 [D loss: 2.733483, acc.: 78.12%, op_acc: 21.88%] [G loss: 3.250703]
106 [D loss: 2.666250, acc.: 70.31%, op_acc: 23.44%] [G loss: 3.448698]
107 [D loss: 2.733016, acc.: 71.88%, op_acc: 23.44%] [G loss: 2.942340]
108 [D loss: 2.728593, acc.: 65.62%, op_acc: 26.56%] [G loss: 3.418745]
109 [D loss: 2.944990, acc.: 67.19%, op_acc: 17.19%] [G loss: 3.321126]
110 [D loss: 2.875664, acc.: 65.62%, op_acc: 21.88%] [G loss: 3.517377]
111 [D loss: 2.702217, acc.: 70.31%, op_acc: 25.00%] [G loss: 3.580959]
112 [D loss: 2.667437, acc.: 65.62%, op_acc: 25.00%] [G loss: 3.305424]
113 [D loss: 2.906841, acc.: 64.06%, op_acc: 20.31%] [G loss: 3.596925]
114 [D loss: 2.762291, acc.: 65.62%, op_acc: 25.00%] [G loss: 3.539346]
115 [D loss: 2.904343, acc.: 60.94%, op_acc: 21.88%] [G loss: 3.357370]
116 [D loss: 2.571805, acc.: 60.94%, op_acc: 28.12%] [G loss: 3.372636]
117 [D loss: 2.864973, acc.: 70.31%, op_acc: 21.88%] [G loss: 3.437089]
118 [D loss: 2.813612, acc.: 53.12%, op_acc: 29.69%] [G loss: 3.143064]
119 [D loss: 2.878724, acc.: 59.38%, op_acc: 17.19%] [G loss: 3.406805]
120 [D loss: 2.855797, acc.: 64.06%, op_acc: 17.19%] [G loss: 3.245362]
121 [D loss: 2.794085, acc.: 67.19%, op_acc: 32.81%] [G loss: 3.332144]
122 [D loss: 2.568358, acc.: 67.19%, op_acc: 35.94%] [G loss: 3.628081]
123 [D loss: 2.606877, acc.: 59.38%, op_acc: 25.00%] [G loss: 3.397819]
124 [D loss: 2.731501, acc.: 59.38%, op_acc: 29.69%] [G loss: 3.455472]
125 [D loss: 2.789990, acc.: 62.50%, op_acc: 31.25%] [G loss: 3.323222]
126 [D loss: 2.698596, acc.: 59.38%, op_acc: 25.00%] [G loss: 3.418522]
127 [D loss: 2.676983, acc.: 54.69%, op_acc: 31.25%] [G loss: 3.421340]
128 [D loss: 2.714254, acc.: 59.38%, op_acc: 32.81%] [G loss: 3.216890]
129 [D loss: 2.736331, acc.: 71.88%, op_acc: 25.00%] [G loss: 3.512240]
130 [D loss: 2.696590, acc.: 71.88%, op_acc: 26.56%] [G loss: 3.384307]
131 [D loss: 2.763423, acc.: 73.44%, op_acc: 32.81%] [G loss: 3.294632]
132 [D loss: 2.711861, acc.: 68.75%, op_acc: 26.56%] [G loss: 3.432141]
133 [D loss: 2.435631, acc.: 71.88%, op_acc: 37.50%] [G loss: 3.518601]
134 [D loss: 2.585438, acc.: 70.31%, op_acc: 39.06%] [G loss: 3.134751]
135 [D loss: 2.639858, acc.: 64.06%, op_acc: 29.69%] [G loss: 3.080092]
